product_id,product_name,category,loss_buyers,repeat_rate_90d,avg_next_margin_90d,total_next_margin_90d,initial_loss_margin,promo_exposure_share,downstream_to_initial_loss,units,revenue,gross_margin,promo_revenue_share,return_rate_qty,refund_share,avg_days_supply,avg_sell_through,overstock_rate,overstock_clearance_signal
927,HanoiStreet UE-36,Streetwear,6134,0.34365829801108577,1532.2590756479865,9398877.170024749,-5024726.097127866,0.38539289207694816,1.8705252760736846,31220,168304974.17,-5507566.811999125,0.3344459891193957,0.0359064702114029,0.0327635974349171,1613.3128205128205,0.0775743589743589,0.9487179487179488,True
1182,MekongFit UE-18,Streetwear,6417,0.29998441639395357,1401.0908972877717,8990800.287895631,-1294979.5091473833,0.3659030699703911,6.942812781505083,31896,65864124.04,-1421739.6126212345,0.312397579864633,0.0338286932530724,0.0312469197760851,702.634126984127,0.0921992063492063,0.9761904761904762,True
826,HanoiStreet UM-10,Streetwear,5788,0.280062197650311,1494.6611805449133,8651098.912993958,-7532623.171544549,0.37266758811333794,1.1484842286648023,28993,342264987.7,-8373024.658323572,0.3243569624694042,0.0343531197185527,0.0317866591412382,1008.6,0.058997619047619,0.992063492063492,True
2054,UrbanVN UE-14,Streetwear,4926,0.353024766544864,1730.0014601999699,8521987.192945052,-3413452.8357100687,0.37677628907835975,2.4965885287154705,24418,160083010.88,-3957637.95701228,0.3342427720834732,0.0360389876320747,0.033185163190004,1979.0984126984129,0.0732888888888888,0.9603174603174603,True
2269,VietMotion RS-02,Outdoor,3969,0.3350970017636684,1785.968950943646,7088510.766295331,-720159.2222852933,0.37566137566137564,9.842977145805675,19921,73319174.62,-780100.4751697567,0.3447764139601276,0.0304201596305406,0.0281887481782456,775.7277777777778,0.1057055555555555,0.8968253968253969,True
907,HanoiStreet UE-16,Streetwear,4100,0.3348780487804878,1716.702917649357,7038481.962362364,-2659693.8671472673,0.4007317073170732,2.6463504124674673,20192,137862945.36,-2998262.456145642,0.3560441200630387,0.0339738510301109,0.0314770340838741,1349.041509433962,0.1273254716981132,0.839622641509434,True
2055,UrbanVN UE-15,Streetwear,4237,0.31531744158602787,1652.0011391943572,6999528.826766491,-3758507.34397604,0.3828180316261506,1.8623161234432624,21054,140772340.26,-4039130.020744411,0.3374570933626674,0.0358126721763085,0.0330570406899904,1343.2103174603174,0.0861095238095238,0.9285714285714286,True
794,HanoiStreet RP-82,Outdoor,4256,0.3218984962406015,1602.3584871158457,6819637.72116504,-937821.7380032336,0.5582706766917294,7.2717846524704095,20426,18646755.61,-1005477.8082368046,0.5102275757235605,0.0340252619210809,0.0317439881972046,1573.2927272727277,0.09826,0.8818181818181818,True
762,HanoiStreet RP-50,Outdoor,3935,0.3758576874205845,1635.858447586143,6437102.991251472,-644859.0881728916,0.41728081321473953,9.98218542517561,19451,40320064.81,-713128.5243292889,0.3781763397914537,0.0360392781862115,0.0332688443414235,2339.5303278688525,0.0716401639344262,0.9344262295081968,True
491,SaigonFlex UM-96,Streetwear,5042,0.26953589845299486,1259.158506711074,6348677.190837236,-5067659.163850215,0.36771122570408565,1.2527829882729824,24485,251816396.52,-5449372.009685109,0.3188096314992094,0.030794363896263,0.0282787042004011,3156.3669421487607,0.1361892561983471,0.7933884297520661,True
761,HanoiStreet RP-49,Outdoor,3917,0.37630839928516724,1604.7428814138011,6285777.866497859,-595924.1041468837,0.4171559867245341,10.547950356021406,19343,40121722.14,-683637.9271395525,0.3816906284970349,0.037015974771235,0.0340653959276933,2295.1442622950817,0.0722221311475409,0.9344262295081968,True
551,SaigonFlex UC-16,Streetwear,2956,0.34370771312584575,1916.1335249490726,5664090.699749459,-3283864.448730238,0.34472259810554806,1.7248247569839783,14246,148825268.12,-3366691.4605830046,0.2917072040145436,0.0332023024006738,0.0304581623622207,3420.810344827586,0.1865362068965517,0.6379310344827587,False
