product_id,product_name,category,segment,avg_stock_on_hand,total_units_sold_inv,avg_units_received,avg_stockout_days,stockout_rate,overstock_rate,reorder_rate,avg_days_supply,avg_sell_through,avg_fill_rate,revenue,gross_margin,promo_revenue_share,return_rate_qty,overstock_score
1,DragonWear MA-01,Casual,All-weather,3.0,3,1.0,1.3333333333333333,1.0,0.0,0.0,90.0,0.25,0.9555666666666666,31302.32,9439.2536,1.0,0.0,0.0
3,DragonWear MA-03,Casual,All-weather,93.54320987654322,767,10.925925925925926,1.037037037037037,0.6666666666666666,1.0,0.0,364.9740740740741,0.10297037037037038,0.9654296296296296,26410895.52,-177969.20224510648,0.33195661136748916,0.03444272445820434,83.91103090992227
4,DragonWear MA-04,Casual,All-weather,37.6,207,5.75,1.0,0.675,0.9,0.0,451.21000000000004,0.1231875,0.9666675,6838217.03,2719253.4160478255,0.2035300684219436,0.027210884353741496,29.671335000000003
5,DragonWear MA-05,Casual,All-weather,3.0,2,1.0,1.5,1.0,0.0,0.0,90.0,0.25,0.95,7673.59,-825.1099999999988,1.0,0.0,0.0
7,DragonWear MA-07,Casual,All-weather,3.0,36,1.894736842105263,0.8947368421052632,0.631578947368421,0.0,0.0,61.18421052631579,0.3642842105263158,0.970178947368421,474795.88,139072.56465125,0.37811768712062116,0.12631578947368421,0.0
8,DragonWear MA-08,Casual,All-weather,66.27272727272727,670,7.606060606060606,1.0707070707070707,0.6767676767676768,0.8787878787878788,0.0,544.0444444444445,0.10829797979797981,0.9643060606060606,12013511.16,3199966.3670093766,0.31855113039242394,0.03787878787878788,51.93243087903831
9,DragonWear MA-09,Casual,All-weather,56.45283018867924,444,9.60377358490566,0.8679245283018868,0.5849056603773585,0.8490566037735849,0.0,312.69056603773583,0.1410490566037736,0.9710716981132075,10374686.68,1291590.4651937494,0.32973126856877766,0.032362459546925564,41.170934502978966
10,DragonWear MA-10,Casual,All-weather,3.75,21,2.75,1.375,0.75,0.25,0.0,64.875,0.3709375,0.9541625,514630.51,9287.035000000098,0.210169875081833,0.015384615384615385,0.5897460937500001
11,DragonWear MA-11,Casual,All-weather,3.0,1,1.0,2.0,1.0,0.0,0.0,90.0,0.25,0.9333,,,,,0.0
12,DragonWear MA-12,Casual,All-weather,3.0,23,1.3529411764705883,1.1764705882352942,0.7647058823529411,0.0,0.0,78.08823529411765,0.2953764705882353,0.9607823529411765,431470.25,94537.85861913042,0.5423744279008809,0.03409090909090909,0.0
13,DragonWear MA-13,Casual,All-weather,4.161290322580645,63,2.096774193548387,1.3225806451612903,0.8064516129032258,0.41935483870967744,0.0,85.28387096774195,0.3006129032258064,0.9559161290322581,1131972.1199999999,204755.87196000002,0.3002565911252302,0.0,1.2204705112282233
14,DragonWear MA-14,Casual,All-weather,3.0,27,1.588235294117647,0.7647058823529411,0.5882352941176471,0.0,0.0,68.82352941176471,0.32941176470588235,0.9745176470588236,453381.86,31283.236256000022,0.23706724834557782,0.0,0.0
15,DragonWear MA-15,Casual,All-weather,3.625,21,2.75,1.0,0.75,0.125,0.0,59.0625,0.38808750000000003,0.966675,418614.92,143029.11204799998,0.6019285218023286,0.012195121951219513,0.2772728515625
17,DragonWear MA-17,Casual,All-weather,16.361702127659573,227,5.361702127659575,1.2340425531914894,0.7446808510638298,0.574468085106383,0.0,164.70851063829787,0.22727021276595744,0.9588659574468085,3696036.73,383804.7629411764,0.30516528443698665,0.0425,7.263100304364159
18,DragonWear MA-18,Casual,All-weather,3.0,1,1.0,2.0,1.0,0.0,0.0,90.0,0.25,0.9333,,,,,0.0
19,DragonWear MA-19,Casual,All-weather,9.0,7,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,150.0,0.19999999999999998,0.9777666666666667,79944.57,-3488.903209180333,0.44623268347055967,0.0,2.4000000000000004
